date,time,temperature_c,humidity_percent,water_frequency_hz
2026-08-15,09:43:32,27.8,41.7,1933300
2026-08-15,09:43:37,27.8,41.7,1933900
2026-08-15,09:43:42,27.8,41.7,1934186
2026-08-15,09:43:47,27.8,41.6,1933750
2026-08-15,09:43:52,27.9,41.6,1933500
2026-08-15,09:43:57,27.9,41.5,1933250
2026-08-15,09:44:02,27.9,41.5,1934300
2026-08-15,09:44:07,27.9,41.4,1934400
2026-08-15,09:44:12,27.9,41.3,1934050
2026-08-15,09:44:17,28.0,41.2,1934200
2026-08-15,09:44:32,28.1,41.1,1932250
2026-08-15,09:44:37,28.1,41.0,1932750
2026-08-15,09:44:42,28.1,41.0,1932350
2026-08-15,09:44:47,28.1,41.0,1932400
2026-08-15,09:44:52,28.2,41.1,1932256
2026-08-15,09:44:57,28.2,41.3,1931084
2026-08-15,09:45:02,28.2,41.8,1932450
2026-08-15,09:45:07,28.3,42.2,1931927
2026-08-15,09:45:12,28.4,42.1,1933650
2026-08-15,09:45:17,28.4,41.7,1932056
2026-08-15,09:45:22,28.4,41.4,1932000
2026-08-15,09:45:27,28.4,41.2,1932650
2026-08-15,09:45:32,28.4,40.9,1931600
2026-08-15,09:45:37,28.3,40.7,1931460
2026-08-15,09:45:42,28.4,40.6,1931050
2026-08-15,09:45:47,28.4,40.6,1931800
2026-08-15,09:45:52,28.4,40.4,1931100
2026-08-15,09:45:57,28.4,40.3,1930200
2026-08-15,09:46:01,28.5,40.3,1931900
2026-08-15,09:46:06,28.4,40.2,1931100
2026-08-15,09:46:11,28.5,40.1,1931450
2026-08-15,09:46:16,28.5,40.0,1931450
2026-08-15,09:46:21,28.5,40.0,1931600
2026-08-15,09:46:26,28.5,40.0,1932100
2026-08-15,09:46:31,28.5,40.0,1931263
2026-08-15,09:46:36,28.5,39.9,1932050
2026-08-15,09:46:41,28.6,39.8,1931250
2026-08-15,09:46:46,28.6,39.8,1932250
2026-08-15,09:46:51,28.6,39.7,1931000
2026-08-15,09:46:56,28.6,39.8,1932050
2026-08-15,09:47:01,28.6,39.7,1931600
2026-08-15,09:47:06,28.6,39.6,1932000
2026-08-15,09:47:11,28.6,39.6,1931100
2026-08-15,09:47:16,28.6,39.5,1931950
2026-08-15,09:47:21,28.5,39.5,1931700
2026-08-15,09:47:26,28.5,39.4,1931900
2026-08-15,09:47:31,28.5,39.4,1931300
2026-08-15,09:47:36,28.5,39.4,1931834
2026-08-15,09:47:41,28.5,39.4,1931300
2026-08-15,09:47:46,28.6,39.4,1931150
2026-08-15,09:47:51,28.6,39.4,1931250
2026-08-15,09:47:56,28.7,39.4,1930650
2026-08-15,09:48:01,28.7,39.3,1930950
2026-08-15,09:48:06,28.6,39.3,1931550
2026-08-15,09:48:11,28.7,39.3,1931756
2026-08-15,09:48:16,28.7,39.3,1930500
2026-08-15,09:48:21,28.7,39.3,1931150
2026-08-15,09:48:26,28.7,39.3,1931600
2026-08-15,09:48:31,28.8,39.3,1931800
2026-08-15,09:48:36,28.8,39.2,1930450
2026-08-15,09:48:41,28.8,39.1,1930653
2026-08-15,09:48:46,28.7,39.0,1932493
2026-08-15,09:48:51,28.8,39.0,1931950
2026-08-15,09:48:56,28.8,38.9,1931900
2026-08-15,09:49:01,28.8,38.9,1931100
2026-08-15,09:49:06,28.7,38.9,1931500
2026-08-15,09:49:11,28.7,38.9,1931250
2026-08-15,09:49:16,28.7,38.9,1931450
2026-08-15,09:49:21,28.7,38.9,1931200
2026-08-15,09:49:26,28.7,38.9,1931120
2026-08-15,09:49:31,28.7,38.8,1931600
2026-08-15,09:49:36,28.6,38.8,1932000
2026-08-15,09:49:41,28.6,38.8,1931700
2026-08-15,09:49:45,28.6,38.8,1933350
2026-08-15,09:49:50,28.6,38.8,1931800
2026-08-15,09:49:55,28.6,38.8,1931950
2026-08-15,09:50:00,28.6,38.9,1931523
2026-08-15,09:50:05,28.6,38.9,1932150
2026-08-15,09:50:10,28.7,38.9,1931650
2026-08-15,09:50:15,28.7,39.0,1930200
2026-08-15,09:50:20,28.7,39.0,1931750
2026-08-15,09:50:25,28.8,39.0,1933100
2026-08-15,09:50:30,28.8,38.9,1933650
2026-08-15,09:50:35,28.8,38.9,1931700
2026-08-15,09:50:40,28.8,38.9,1931650
2026-08-15,09:50:45,28.8,38.9,1931150
2026-08-15,09:50:50,28.8,38.8,1930750
2026-08-15,09:50:55,28.8,38.8,1931350
2026-08-15,09:51:00,28.9,38.8,1931900
2026-08-15,09:51:05,28.9,38.8,1931623
2026-08-15,09:51:10,28.9,38.8,1930950
2026-08-15,09:51:40,28.9,38.6,1931650
2026-08-15,09:51:45,28.9,38.6,1930050
2026-08-15,09:51:50,28.9,38.6,1931350
2026-08-15,09:54:59,28.8,38.7,1931074
2026-08-15,09:55:04,28.8,38.7,1931150
2026-08-15,09:55:09,28.7,38.7,1930800
2026-08-15,09:55:14,28.8,38.7,1931600
2026-08-15,09:55:19,28.8,38.7,1931710
2026-08-15,09:55:24,28.8,38.7,1931650
2026-08-15,09:55:29,28.8,38.7,1933100
2026-08-15,09:55:34,28.9,38.7,1931900
2026-08-15,09:55:39,28.8,38.6,1931750
2026-08-15,09:55:44,28.8,38.6,1931103
2026-08-15,09:55:49,28.8,38.6,1931650
2026-08-15,09:55:54,28.8,38.6,1932360
2026-08-15,09:55:59,28.9,38.6,1932000
2026-08-15,09:56:04,28.9,38.6,1931034
2026-08-15,09:56:09,28.9,38.6,1931510
2026-08-15,09:56:14,28.9,38.6,1930500
2026-08-15,09:56:19,28.9,38.6,1931400
2026-08-15,09:56:24,28.9,38.6,1932250
2026-08-15,09:56:29,29.0,38.6,1931700
2026-08-15,09:56:34,29.0,38.5,1931550
2026-08-15,09:56:39,28.9,38.5,1931750
2026-08-15,09:56:44,28.9,38.4,1932400
2026-08-15,09:56:49,28.9,38.4,1931600
2026-08-15,09:56:54,28.9,38.6,1931450
2026-08-15,09:56:59,28.9,38.6,1931063
2026-08-15,09:57:04,28.9,38.6,1931750
2026-08-15,09:57:09,28.9,38.5,1931503
2026-08-15,09:57:14,29.0,38.5,1932100
2026-08-15,09:57:19,29.0,38.4,1932800
2026-08-15,09:57:24,29.0,38.4,1931700
2026-08-15,09:57:29,29.0,38.4,1930500
2026-08-15,09:57:34,29.0,38.4,1931644
2026-08-15,09:57:39,29.0,38.4,1931403
2026-08-15,09:57:44,29.0,38.4,1931400
2026-08-15,09:57:48,28.9,38.4,1930410
2026-08-15,09:57:53,28.9,38.4,1932576
2026-08-15,09:57:58,28.9,38.4,1930900
2026-08-15,09:58:03,28.8,38.4,1931050
2026-08-15,09:58:08,28.8,38.4,1931350
2026-08-15,09:58:13,28.8,38.4,1930500
2026-08-15,09:58:18,28.8,38.5,1931027
2026-08-15,09:58:23,28.8,38.5,1931000
2026-08-15,09:58:28,28.9,38.6,1930600
2026-08-15,09:58:33,28.9,38.6,1931100
2026-08-15,09:58:38,28.9,38.6,1931200
2026-08-15,09:58:43,28.9,38.6,1931550
2026-08-15,09:58:48,29.0,38.6,1930550
2026-08-15,09:58:53,29.0,38.6,1930800
2026-08-15,09:58:58,29.0,38.6,1931500
2026-08-15,09:59:03,28.9,38.5,1930753
2026-08-15,09:59:08,29.0,38.5,1930900
2026-08-15,09:59:13,29.0,38.5,1930950
2026-08-15,09:59:18,29.0,38.5,1931200
2026-08-15,09:59:23,29.0,38.5,1931550
2026-08-15,09:59:28,29.0,38.5,1930388
2026-08-15,09:59:33,29.0,38.5,1930600
2026-08-15,09:59:38,29.1,38.5,1931350
2026-08-15,09:59:43,29.1,38.4,1930200
2026-08-15,09:59:48,29.1,38.4,1931050
2026-08-15,09:59:53,29.1,38.4,1930900
2026-08-15,09:59:58,29.1,38.4,1930200
2026-08-15,10:00:03,29.1,38.4,1930206
2026-08-15,10:00:08,29.1,38.4,1929700
2026-08-15,10:00:13,29.2,38.4,1929600
2026-08-15,10:00:18,29.1,38.3,1931350
2026-08-15,10:00:23,29.1,38.3,1930000
2026-08-15,10:00:28,29.1,38.3,1930550
2026-08-15,10:00:33,29.1,38.3,1930550
2026-08-15,10:00:38,29.2,38.3,1930950
2026-08-15,10:00:43,29.2,38.3,1931250
2026-08-15,10:00:48,29.2,38.2,1931300
2026-08-15,10:00:53,29.2,38.3,1930950
2026-08-15,10:00:58,29.2,38.3,1931050
2026-08-15,10:01:03,29.2,38.3,1930800
2026-08-15,10:01:08,29.2,38.2,1932700
2026-08-15,10:01:13,29.2,38.2,1930350
2026-08-15,10:01:18,29.2,38.2,1930300
2026-08-15,10:01:22,29.2,38.2,1930850
2026-08-15,10:01:27,29.2,38.2,1930800
2026-08-15,10:01:32,29.2,38.1,1931100
2026-08-15,10:01:37,29.2,38.1,1931450
2026-08-15,10:01:42,29.3,38.1,1931400
2026-08-15,10:01:47,29.2,38.1,1931700
2026-08-15,10:01:52,29.2,38.1,1930024
2026-08-15,10:01:57,29.1,38.1,1932150
2026-08-15,10:02:02,29.2,38.1,1930800
2026-08-15,10:02:07,29.2,38.1,1932650
